N133,retail,10,tienda-A,casa-A,1,2020-10-17 23:59:16
N135,retail,110,tienda-C,casa-C,2,2020-10-17 23:59:19
N137,retail,100,tienda-B,casa-Q,1,2020-10-17 23:59:20
N139,retail,20,tienda-B,casa-C,3,2020-10-17 23:59:25
N141,retail,20,tienda-A,casa-F,2,2020-10-17 23:59:27
N143,retail,25,tienda-C,casa-A,1,2020-10-17 23:59:28
N145,retail,6,tienda-C,casa-N,1,2020-10-17 23:59:30
N147,retail,50,tienda-C,casa-C,1,2020-10-17 23:59:32
N149,retail,30,tienda-A,casa-A,1,2020-10-17 23:59:34
N151,retail,90,tienda-A,casa-S,1,2020-10-17 23:59:36
N152,retail,115,tienda-B,casa-A,2,2020-10-17 23:59:39
N125,prioritario,14,pyme,casa-C,1,2020-10-17 23:59:40
N153,retail,10,tienda-A,casa-A,1,2020-10-18 00:20:48
N155,retail,110,tienda-C,casa-C,1,2020-10-18 00:20:51
N157,retail,100,tienda-B,casa-Q,1,2020-10-18 00:20:53
N159,retail,20,tienda-B,casa-C,1,2020-10-18 00:20:55
N161,retail,20,tienda-A,casa-F,2,2020-10-18 00:20:58
N163,retail,25,tienda-C,casa-A,1,2020-10-18 00:20:59
N165,retail,6,tienda-C,casa-N,1,2020-10-18 00:21:01
N167,retail,50,tienda-C,casa-C,1,2020-10-18 00:21:03
N169,retail,30,tienda-A,casa-A,1,2020-10-18 00:21:05
N171,retail,90,tienda-A,casa-S,1,2020-10-18 00:21:08
N172,retail,115,tienda-B,casa-A,1,2020-10-18 00:21:10
N196,prioritario,6,pyme,casa-A,1,2020-10-18 00:21:12
N205,prioritario,3,pyme,casa-C,1,2020-10-18 00:21:16
