N100,prioritario,15,pyme,casa-K,1,2020-10-17 23:59:16
N101,prioritario,8,pyme,casa-A,1,2020-10-17 23:59:18
N104,prioritario,8,pyme,casa-E,1,2020-10-17 23:59:21
N105,prioritario,50,pyme,casa-B,1,2020-10-17 23:59:23
N107,prioritario,10,pyme,casa-N,1,2020-10-17 23:59:26
N109,prioritario,25,pyme,casa-P,1,2020-10-17 23:59:28
N112,prioritario,115,pyme,casa-I,1,2020-10-17 23:59:30
N113,prioritario,9,pyme,casa-C,1,2020-10-17 23:59:32
N117,prioritario,11,pyme,casa-V,1,2020-10-17 23:59:34
N119,prioritario,18,pyme,casa-Y,1,2020-10-17 23:59:36
N123,prioritario,6,pyme,casa-A,1,2020-10-17 23:59:38
N102,normal,10,pyme,casa-A,1,2020-10-17 23:59:40
N103,normal,10,pyme,casa-D,1,2020-10-17 23:59:42
N106,normal,75,pyme,casa-N,2,2020-10-17 23:59:45
N108,normal,20,pyme,casa-S,2,2020-10-17 23:59:46
N110,normal,22,pyme,casa-R,2,2020-10-17 23:59:48
N111,normal,90,pyme,casa-N,2,2020-10-17 23:59:50
N114,normal,5,pyme,casa-C,2,2020-10-17 23:59:52
N114,normal,5,pyme,casa-C,2,2020-10-17 23:59:53
N114,normal,5,pyme,casa-C,2,2020-10-17 23:59:54
N115,normal,4,pyme,casa-I,2,2020-10-17 23:59:57
N116,normal,16,pyme,casa-E,2,2020-10-18 00:00:00
N120,normal,9,pyme,casa-F,2,2020-10-18 00:00:02
N120,normal,9,pyme,casa-F,2,2020-10-18 00:00:03
N120,normal,9,pyme,casa-F,2,2020-10-18 00:00:04
N122,normal,17,pyme,casa-U,2,2020-10-18 00:00:07
N124,normal,16,pyme,casa-X,2,2020-10-18 00:00:09
N126,normal,10,pyme,casa-A,2,2020-10-18 00:00:11
N127,normal,7,pyme,casa-Q,2,2020-10-18 00:00:13
N128,normal,4,pyme,casa-B,2,2020-10-18 00:00:15
N129,normal,5,pyme,casa-A,2,2020-10-18 00:00:17
N130,normal,5,pyme,casa-L,2,2020-10-18 00:00:19
N131,normal,6,pyme,casa-D,2,2020-10-18 00:00:23
N173,prioritario,15,pyme,casa-K,1,2020-10-18 00:20:51
N174,prioritario,8,pyme,casa-A,1,2020-10-18 00:20:53
N177,prioritario,8,pyme,casa-E,1,2020-10-18 00:20:55
N178,prioritario,50,pyme,casa-B,2,2020-10-18 00:20:58
N180,prioritario,10,pyme,casa-N,2,2020-10-18 00:20:59
N182,prioritario,25,pyme,casa-P,2,2020-10-18 00:21:01
N185,prioritario,115,pyme,casa-I,2,2020-10-18 00:21:03
N186,prioritario,9,pyme,casa-C,2,2020-10-18 00:21:06
N191,prioritario,15,pyme,casa-Z,2,2020-10-18 00:21:08
N194,prioritario,11,pyme,casa-C,2,2020-10-18 00:21:10
N175,normal,10,pyme,casa-A,2,2020-10-18 00:21:12
N176,normal,10,pyme,casa-D,2,2020-10-18 00:21:14
N179,normal,75,pyme,casa-N,3,2020-10-18 00:21:17
N181,normal,20,pyme,casa-S,3,2020-10-18 00:21:18
N183,normal,22,pyme,casa-R,3,2020-10-18 00:21:20
N184,normal,90,pyme,casa-N,3,2020-10-18 00:21:22
N187,normal,5,pyme,casa-C,3,0
N187,normal,5,pyme,casa-C,3,0
N187,normal,5,pyme,casa-C,3,2020-10-18 00:21:26
N188,normal,4,pyme,casa-I,3,2020-10-18 00:21:29
N189,normal,16,pyme,casa-E,3,2020-10-18 00:21:31
N193,normal,9,pyme,casa-F,3,0
N193,normal,9,pyme,casa-F,3,0
N193,normal,9,pyme,casa-F,3,2020-10-18 00:21:35
N195,normal,17,pyme,casa-U,3,2020-10-18 00:21:38
N197,normal,16,pyme,casa-X,3,2020-10-18 00:21:40
N199,normal,10,pyme,casa-A,3,2020-10-18 00:21:42
N200,normal,7,pyme,casa-Q,3,2020-10-18 00:21:44
N201,normal,4,pyme,casa-B,3,2020-10-18 00:21:46
N202,normal,5,pyme,casa-A,3,2020-10-18 00:21:48
N203,normal,5,pyme,casa-L,3,2020-10-18 00:21:50
N204,normal,6,pyme,casa-D,3,2020-10-18 00:21:55
